36,-0.083098,-0.080195,0.0028163,0.081962,-0.043051,-0.038928,0.17587,0.16835,0.026708,-0.054531,-0.093087,-0.085262
37,-0.077847,-0.069709,0.008056,0.074056,-0.043012,-0.031089,0.18642,0.19661,0.056533,-0.034591,-0.079938,-0.076844
38,-0.072308,-0.057961,0.014279,0.065394,-0.043334,-0.022118,0.19683,0.22575,0.088552,-0.012765,-0.065423,-0.067259
39,-0.066407,-0.044788,0.021569,0.055856,-0.044023,-0.011891,0.20694,0.25558,0.12285,0.011134,-0.049338,-0.056298
40,-0.060029,-0.029998,0.030002,0.04529,-0.045063,-0.00027173,0.21658,0.28589,0.15954,0.037315,-0.031445,-0.043739
41,-0.053037,-0.013385,0.039646,0.033522,-0.046418,0.012874,0.22547,0.31643,0.1987,0.065984,-0.011502,-0.029365
42,-0.045281,0.0052598,0.050555,0.020367,-0.048034,0.027677,0.23328,0.34694,0.2404,0.097323,0.010716,-0.012978
43,-0.036614,0.02613,0.062773,0.0056523,-0.049857,0.044253,0.23962,0.37706,0.28464,0.13147,0.035405,0.0055857
44,-0.026904,0.049394,0.076337,-0.010778,-0.051831,0.062702,0.24405,0.40639,0.33133,0.16848,0.062708,0.026457
45,-0.016053,0.075184,0.091276,-0.029045,-0.053916,0.083102,0.24613,0.43448,0.38028,0.20836,0.09271,0.049724
46,-0.0040054,0.10358,0.10762,-0.049222,-0.056089,0.10551,0.24547,0.46079,0.43119,0.251,0.12542,0.07543
47,0.0092462,0.13461,0.12538,-0.071329,-0.058351,0.12993,0.2417,0.48474,0.48362,0.29618,0.16078,0.10357
48,0.023654,0.16824,0.14456,-0.095327,-0.060728,0.15637,0.2345,0.50568,0.53702,0.34359,0.19863,0.13406
49,0.03912,0.20435,0.16517,-0.12111,-0.063261,0.18475,0.22363,0.52298,0.59073,0.39282,0.23873,0.16677
50,0.055498,0.24276,0.18715,-0.14853,-0.06601,0.21497,0.20885,0.53593,0.64397,0.44334,0.28073,0.20147
51,0.072602,0.28323,0.21047,-0.17735,-0.069042,0.24688,0.18997,0.54388,0.69587,0.49452,0.32421,0.23787
52,0.090212,0.32544,0.23501,-0.20732,-0.072423,0.28027,0.16684,0.54619,0.74553,0.54568,0.36868,0.2756
53,0.10808,0.36902,0.26065,-0.23811,-0.076223,0.3149,0.13934,0.54226,0.79197,0.59605,0.41357,0.31423
54,0.12595,0.41355,0.28725,-0.26938,-0.080503,0.35048,0.1074,0.53157,0.83424,0.64485,0.45828,0.35327
